file_path,line_number,call_type,event_name,flow_name,fires_on,meta_fields,proposed_moment_id,reachable_in_current_flow,notes
src/engine/actionExecutor.ts,2705,track_event,checkpoint_viewed,checkpoint_d14,ensure_checkpoint_data handler,"""engagement_level, day""",M25,no,Same handler fires for day 7 or 14; dispatcher not reachable in Phase 5.
src/engine/actionExecutor.ts,2784,track_event,checkpoint_completed,checkpoint_d14,checkpoint_submit success,"""decision, reflection_length""",M25,yes,CheckpointDay14Block dispatches checkpoint_submit on user decision.
src/engine/actionExecutor.ts,2796,track_event,cycle_completed,checkpoint_d14,day-14 checkpoint submit,"""decision, total_days, path_cycle_number""",client_event:cycle_completed,yes,Fires immediately after checkpoint_completed when csDay===14.
src/engine/actionExecutor.ts,2705,track_event,checkpoint_viewed,checkpoint_d7,ensure_checkpoint_data handler,"""engagement_level, day""",M24,no,ensure_checkpoint_data action is never dispatched in current flow. CheckpointDay7Block uses mitraResolveMoment(M24) directly.
src/engine/actionExecutor.ts,2784,track_event,checkpoint_completed,checkpoint_d7,checkpoint_submit success,"""decision, reflection_length""",M24,yes,CheckpointDay7Block dispatches checkpoint_submit on user decision.
src/blocks/CompletionReturnTransient.tsx,114,track_event,completion_return_shown,completion_return,block mount (Moment 32),"""item_type, item_id, source""",M32,yes,Registered via BlockRenderer as completion_return -> this blocks file. Navigates post complete_runner.
src/blocks/CompletionReturnTransient.tsx,152,track_event,completion_return_manually_returned,completion_return,user taps Return to Dashboard,"""item_type""",M32,yes,Dashboard return from completion screen.
src/blocks/CompletionReturnTransient.tsx,172,track_event,completion_return_repeated,completion_return,user taps Repeat,"""item_type, item_id""",M32,yes,Dispatches repeat_runner.
src/blocks/CompletionReturnTransient.tsx,191,track_event,post_completion_reflection,completion_return,user submits reflection text (VoiceTextInput),"""item_type, item_id, text, response_type""",M32,yes,Fired once per completion when user leaves a reflection.
src/extensions/moments/completion_return/index.tsx,88,track_event,completion_return_shown,completion_return,scaffold block mount,"""item_type, item_id, source""",M32,no,"Scaffold duplicate. BlockRenderer registers src/blocks/CompletionReturnTransient.tsx, not this file. Dead code."
src/extensions/moments/completion_return/index.tsx,127,track_event,completion_return_manually_returned,completion_return,scaffold handler,"""item_type""",M32,no,Scaffold duplicate — BlockRenderer maps completion_return to blocks/CompletionReturnTransient.tsx. Dead code.
src/extensions/moments/completion_return/index.tsx,147,track_event,completion_return_repeated,completion_return,scaffold handler,"""item_type, item_id""",M32,no,Scaffold duplicate. Dead code.
src/extensions/moments/completion_return/index.tsx,163,track_event,post_completion_reflection,completion_return,scaffold handler,"""item_type, item_id, text""",M32,no,Scaffold duplicate. Dead code.
src/engine/actionExecutor.ts,528,track_event,trigger_session_started,continue_journey,"""start_support"" chip on M12 ContinueJourney",none,M12,yes,Dispatched from ContinueJourney chip when action.type===start_support. Meta only journeyId+dayNumber (no meta object).
